sale_begin,sale_no,is_input
1682/04/18,A1,yes
1684/06/02,A1a,yes
1686/05/11,A2,yes
1688/02/13,A4,no
1688/04/16,A3,no
1689/01/20,A5,no
1689/05/00,A6,no
1689/05/04,A7,yes
1689/05/31,A8,yes
1689/06/14,A9,yes
1689/06/21,A10,yes
1689/06/28,A11,yes
1689/07/02,A12,yes
1689/07/05,A13,yes
1689/07/12,A14,yes
1689/07/19,A15,yes
1689/07/26,A16,yes
1689/08/02,A17,yes
1689/08/13,A18,yes
1689/09/25,A19,yes
1689/10/08,A20,no
1689/11/01,A21,yes
1689/11/06,A22,yes
1689/12/06,A23,yes
1689/12/16,A23a,yes
1690/01/29,A25,yes
1690/02/06,A25a,yes
1690/02/07,A26,yes
1690/02/20,A27,yes
1690/02/26,A28,yes
1690/03/19,A29,yes
1690/04/03,A30,yes
1690/04/15,A31,yes
1690/04/29,A32,yes
1690/04/30,A33,yes
1690/05/05,A34,yes
1690/05/12,A35,yes
1690/05/19,A36,yes
1690/05/20,A37,yes
1690/05/26,A38,yes
1690/05/27,A39,yes
1690/06/02,A40,yes
1690/06/13,A40a,yes
1690/06/19,A41,yes
1690/06/25,A42,yes
1690/06/26,A43,yes
1690/06/30,A44,yes
1690/07/08,A45,yes
1690/07/11,A46,yes
1690/07/15,A47,yes
1690/08/04,A48,yes
1690/08/11,A49,no
1690/08/16,A50,yes
1690/09/04,A51,yes
1690/09/11,A52,yes
1690/09/15,A53,yes
1690/09/22,A54,yes
1690/09/24,A55,yes
1690/10/08,A56,yes
1690/10/16,A57,yes
1690/10/20,A58,yes
1690/11/06,A59,no
1690/11/11,A60,no
1690/11/12,A61,no
1690/11/14,A62,no
1690/11/20,A63,yes
1690/11/25,A64,yes
1690/12/02,A65,yes
1690/12/09,A66,yes
1690/12/09,A67,no
1690/12/15,A68,yes
1691/01/13,A71,yes
1691/01/15,A72,yes
1691/01/20,A73,yes
1691/01/21,A73a,no
1691/01/27,A73b,no
1691/01/28,A74,yes
1691/01/28,A75,no
1691/02/05,A77,yes
1691/02/10,A78,no
1691/03/03,A81,yes
1691/03/09,A82,yes
1691/03/09,A82a,yes
1691/03/12,A82b,yes
1691/03/24,A82c,yes
1691/03/31,A83,yes
1691/04/00,A85,no
1691/04/01,A84,yes
1691/05/05,A86,no
1691/05/06,A87,no
1691/05/07,A88,no
1691/05/12,A88a,no
1691/05/19,A89,yes
1691/05/21,A90,yes
1691/05/22,A91,yes
1691/05/25,A91a,no
1691/06/08,A92,no
1691/06/10,A93,no
1691/06/15,A94,no
1691/06/18,A95,no
1691/06/24,A96,no
1691/06/24,A97,no
1691/07/02,A98,no
1691/08/13,A99,no
1691/10/13,A100,no
1691/10/21,A101,no
1691/10/22,A102,yes
1691/10/27,A103,yes
1691/10/30,A104,yes
1691/11/02,A105,yes
1691/11/06,A106,yes
1691/11/09,A107,yes
1691/11/10,A108,yes
1691/11/12,A109,yes
1691/11/17,A110,yes
1691/11/18,A111,yes
1691/11/18,A112,yes
1691/11/23,A113,yes
1691/11/27,A114,yes
1691/12/02,A115,yes
1691/12/07,A116,yes
1691/12/07,A117,yes
1691/12/09,A118,yes
1691/12/09,A119,yes
1691/12/11,A120,yes
1691/12/21,A121,yes
1691/12/21,A122,yes
1691/12/29,A123,no
1692/01/07,A124,no
1692/01/13,A126,no
1692/01/13,A125,no
1692/01/14,A127,no
1692/01/22,A128,no
1692/01/26,A129,no
1692/02/03,A130,no
1692/02/04,A131,no
1692/02/05,A132,no
1692/02/08,A133,no
1692/02/22,A134,no
1692/02/24,A135,no
1692/02/25,A136,no
1692/03/15,A139,no
1692/03/17,A140,no
1692/03/23,A141,no
1692/03/23,A143,no
1692/03/23,A142,no
1693/01/23,A148,no
1693/02/04,A151,no
1693/02/08,A152,no
1693/02/24,A153,no
1693/02/25,A154,no
1693/09/07,A156a,no
1693/11/24,A157,no
1694/06/04,A156b,no
1694/07/12,A158,no
1694/11/01,A158a,no
1697/02/08,A160,yes
1697/03/03,A159,no
1698/06/02,A161,no
1699/05/04,A162,yes
1702/01/27,A200,yes
1702/11/10,A203,no
1702/12/26,A201,no
1702/12/31,A202,no
1703/00/00,A204,no
1703/01/22,A204a,no
1703/04/15,A205,no
1704/03/09,A206,no
1704/03/27,A207,yes
1706/04/17,A208,no
1706/11/18,A209,no
1707/02/07,A210,no
1707/11/19,A211,no
1708/03/22,A212,no
1710/02/06,A213,no
1710/08/24,A214,no
1711/03/06,A215,no
1711/06/07,A216,no
1711/12/13,A217,no
1712/03/06,A218,no
1712/04/03,A219,no
1712/04/17,A220,no
1712/05/08,A221,no
1712/06/05,A222,no
1713/03/05,A223,no
1713/03/12,A224,no
1713/03/19,A225,no
1713/05/08,A226,no
1714/03/25,A227,no
1715/02/02,A228,no
1716/11/22,A229,no
1717/03/10,A230,no
1717/05/06,A231,no
1718/12/01,A232,no
1718/12/15,A233,no
1720/05/12,A234,yes
1721/03/23,A234b,yes
1721/12/14,A235,yes
1722/01/31,A236,no
1722/02/24,A237,no
1722/03/08,A238,no
1722/03/13,A239,no
1722/08/06,A241,no
1722/09/03,A242,no
1722/11/15,A242a,yes
1723/01/31,A242b,yes
1723/03/12,A243,no
1723/04/02,A244,no
