"raw_date","start_string","end_string","start_date","end_date","start_year","end_year","start_yday","end_yday"
"17 Mar. 1715-26 June 1716","17 Mar. 1715","26 June 1716",1715-03-17,1716-06-26,1715,1716,76,178
"20 Feb. 1717-15 July 1717","20 Feb. 1717","15 July 1717",1717-02-20,1717-07-15,1717,1717,51,196
"21 Nov. 1717-21 Mar. 1718","21 Nov. 1717","21 Mar. 1718",1717-11-21,1718-03-21,1717,1718,325,80
"11 Nov. 1718-18 Apr. 1719","11 Nov. 1718","18 Apr. 1719",1718-11-11,1719-04-18,1718,1719,315,108
"23 Nov. 1719-11 June 1720","23 Nov. 1719","11 June 1720",1719-11-23,1720-06-11,1719,1720,327,163
"8 Dec. 1720-29 July 1721","8 Dec. 1720","29 July 1721",1720-12-08,1721-07-29,1720,1721,343,210
"31 July 1721-10 Aug. 1721","31 July 1721","10 Aug. 1721",1721-07-31,1721-08-10,1721,1721,212,222
"19 Oct. 1721-7 Mar. 1722","19 Oct. 1721","7 Mar. 1722",1721-10-19,1722-03-07,1721,1722,292,66
"9 Oct. 1722-27 May 1723","9 Oct. 1722","27 May 1723",1722-10-09,1723-05-27,1722,1723,282,147
"9 Jan. 1724-24 Apr. 1724","9 Jan. 1724","24 Apr. 1724",1724-01-09,1724-04-24,1724,1724,9,115
"12 Nov. 1724-31 May 1725","12 Nov. 1724","31 May 1725",1724-11-12,1725-05-31,1724,1725,317,151
"20 Jan. 1726-24 May 1726","20 Jan. 1726","24 May 1726",1726-01-20,1726-05-24,1726,1726,20,144
"17 Jan. 1727-15 May 1727","17 Jan. 1727","15 May 1727",1727-01-17,1727-05-15,1727,1727,17,135
"27 June 1727-17 July 1727","27 June 1727","17 July 1727",1727-06-27,1727-07-17,1727,1727,178,198
"23 Jan. 1728-28 May 1728","23 Jan. 1728","28 May 1728",1728-01-23,1728-05-28,1728,1728,23,149
"21 Jan. 1729-14 May 1729","21 Jan. 1729","14 May 1729",1729-01-21,1729-05-14,1729,1729,21,134
