year,start_day,start_month,end_day,end_month,takings
1778,24,4,30,5,1475.11
1779,24,4,29,5,1380.16
1780,1,5,3,6,3069.1
1781,30,4,2,6,2141.4
1782,29,4,3,6,2767.3
1783,28,4,3,6,2630.9
1784,26,4,3,6,2444.12
1785,27,4,7,6,2202.19
1786,1,5,10,6,2769.1
1787,30,4,9,6,2453.2
1788,28,4,7,6,2282.7
1789,27,4,6,6,2024.12
1790,28,4,8,7,2154.12
1791,2,5,11,6,2120.6
1792,30,4,9,6,2602
1793,29,4,8,6,1932.8
1794,28,4,14,6,1902.3
1795,4,5,13,6,2302.12
1796,25,4,4,6,3141.15
1797,1,5,17,6,3192.19
1798,23,4,16,6,2846.6
1799,29,4,15,6,3051.7
1800,28,4,14,6,2955.1
1801,27,4,13,6,2476.3
1802,3,5,12,6,2824
1803,2,5,11,6,2779.12
1804,30,4,16,6,2398.19
1805,29,4,15,6,2742.13
1806,5,5,21,6,2802.3
1807,4,5,20,6,3116.16
1808,,,,,2969.4
1809,,,17,6,3058.1
1810,30,4,16,6,2735.18
1811,29,4,15,6,3194.19
1812,4,5,20,6,2957.6
1813,3,5,26,6,3621.1
1814,2,5,9,7,3339.19
1815,1,5,24,6,3882.8
1816,29,4,29,6,3258
1817,5,5,28,6,3706.17
1818,4,5,27,6,3932.6
1819,3,5,26,6,
1820,1,5,1,7,
1821,7,5,14,7,
1822,6,5,13,7,
1823,5,5,12,7,
1824,3,5,10,7,
1825,2,5,9,7,
1826,1,5,8,7,
1827,7,5,14,7,
1828,5,5,12,7,
1829,4,5,11,7,
1830,3,5,16,7,
1831,2,5,16,7,
1832,7,5,21,7,
1833,6,5,20,7,
1834,5,5,19,7,
1835,4,5,18,7,
1836,2,5,16,7,
1837,1,5,22,7,
1838,7,5,28,7,
1839,6,5,27,7,
1840,4,5,25,4,
1841,3,5,24,7,
1842,2,5,23,7,
1843,8,5,29,7,
1844,6,5,27,7,
1845,5,5,26,7,
1846,4,5,25,7,
1847,3,5,24,7,
1848,1,5,22,7,
1849,7,5,28,7,
1850,6,5,27,7,
1851,5,5,16,8,
1852,3,5,24,7,
1853,2,5,23,7,
1854,1,5,22,7,
1855,7,5,28,7,
1856,5,5,26,7,
1857,4,5,25,7,
1858,3,5,24,7,
1859,2,5,23,7,
1860,7,5,28,7,
